userName,userID,locationID,locationName,arrivalTime,duration,preference
James Lamb,0,2069,Mộ Hàn Mặc Tử,"[9.682447766856093, 16.30000000000003]","[0.09, 0.54]",3
James Lamb,0,1486,Quán trứng vịt chiên mắm cô Thanh,"[18.96, 19.44]","[0.17, 1.32]",2
James Lamb,0,988,Bánh Cuốn Nóng,"[0.01, 0.99]","[2.97, 13.0]",4
James Lamb,0,345,FLC City Hotel Beach Quy Nhon,"[8.286720090354438, 9.92999999999998]","[0.32, 1.2600000000000002]",4
James Lamb,0,945,Bảo Tàng Tổng Hợp Bình Định,"[18.01, 23.21]","[0.18, 0.26]",1
James Lamb,0,350,Khách sạn Hữu Phước,"[14.49, 14.89]","[0.68, 0.95]",4
James Lamb,0,1642,Bếp Nhà Xứ Nẫu,"[7.482000176174283, 12.049999999999981]","[0.75, 2.189999999999996]",2
James Lamb,0,2052,Mũi Tấn,"[3.39, 3.53]","[0.28, 0.43]",1
James Lamb,0,2105,Tour Cù Lao Xanh - Quy Nhơn,"[11.9, 13.79]","[0.09, 2.28]",1
James Lamb,0,1027,Bún Bò Gân,"[1.82, 1.96]","[0.54, 13.7]",5
James Lamb,0,502,Cafe Nhơn,"[2.16, 3.94]","[1.18, 7.23]",5
James Lamb,0,911,Cafe Long,"[6.974529475534522, 14.319999999999892]","[0.45, 3.0389073548014736]",1
James Lamb,0,1088,Hải Sản 7 Dũng,"[15.29, 15.74]","[1.33, 2.29]",5
James Lamb,0,357,LaCas Hotel Quy Nhơn,"[7.0918714759066495, 18.469999999999757]","[0.29, 5.03885633822498]",1
James Lamb,0,2062,Tượng Đài Quang Trung,"[3.9867983456271805, 15.789999999999866]","[0.28, 0.9400000000000002]",1
James Lamb,0,173,Khách sạn Ngọc Thương,"[20.996619065240953, 21.57000000000005]","[0.39, 1.7510986411215048]",3
James Lamb,0,1028,Bún Bò Hẻm,"[13.09, 14.05]","[1.09, 5.98]",2
James Lamb,0,481,Cà Phê Mận,"[6.53, 6.84]","[1.28, 2.11]",1
James Lamb,0,2041,Cháo lòng bánh hỏi Tư Hạnh,"[8.19131617314147, 13.849999999999886]","[0.08, 0.5800000000000001]",4
James Lamb,0,1174,Quán Ăn Chín Chè,"[21.53, 21.89]","[0.0, 0.51]",5
James Lamb,0,1208,Phở Cô Mười,"[6.083098996127413, 18.169999999999796]","[0.04, 0.6900000000000002]",1
James Lamb,0,1892,Cơm Mậu,"[16.228157818592976, 19.350000000000428]","[0.45, 2.139999999999997]",4
James Lamb,0,468,HUG COFFEE SHOP,"[14.96, 15.13]","[1.83, 3.59]",4
James Lamb,0,2064,Núi Vũng Chua,"[3.127172368143036, 9.379999999999994]","[0.53, 2.279999999999994]",4
Herman Pascoe,1,2069,Mộ Hàn Mặc Tử,"[11.71244776685605, 16.89000000000012]","[0.16, 0.7300000000000002]",1
Herman Pascoe,1,1486,Quán trứng vịt chiên mắm cô Thanh,"[22.8, 23.29]","[0.05, 0.1]",2
Herman Pascoe,1,988,Bánh Cuốn Nóng,"[2.8, 3.07]","[4.95, 11.42]",5
Herman Pascoe,1,345,FLC City Hotel Beach Quy Nhon,"[7.22672009035446, 13.419999999999906]","[0.2, 1.2400000000000002]",3
Herman Pascoe,1,2092,Kỳ Co Beach,"[2.172775311824138, 11.869999999999948]","[0.87, 2.8999999999999915]",1
Herman Pascoe,1,502,Cafe Nhơn,"[16.12, 17.69]","[0.16, 0.69]",2
Herman Pascoe,1,911,Cafe Long,"[7.57452947553451, 13.079999999999918]","[1.02, 3.5989073548014616]",1
Herman Pascoe,1,1939,Mì Cay Sasin,"[6.14, 7.73]","[0.96, 9.71]",3
Herman Pascoe,1,695,CỘNG TRÀ CHANH QUY NHƠN,"[9.288592670571806, 19.499999999999794]","[0.27, 0.7577393052797494]",3
Herman Pascoe,1,357,LaCas Hotel Quy Nhơn,"[4.701871475906648, 17.049999999999788]","[0.48, 4.728856338224986]",3
Herman Pascoe,1,2062,Tượng Đài Quang Trung,"[8.806798345627078, 21.979999999999734]","[0.15, 0.8900000000000001]",3
Herman Pascoe,1,1028,Bún Bò Hẻm,"[14.22, 14.51]","[0.62, 1.65]",4
Herman Pascoe,1,481,Cà Phê Mận,"[17.47, 18.14]","[0.11, 3.16]",2
Herman Pascoe,1,2041,Cháo lòng bánh hỏi Tư Hạnh,"[5.321316173141531, 17.109999999999815]","[0.19, 0.6300000000000001]",3
Herman Pascoe,1,1174,Quán Ăn Chín Chè,"[22.42, 23.39]","[0, 0.5]",3
Herman Pascoe,1,2094,Eo gió,"[13.708101522528198, 20.07999999999989]","[0.64, 2.3099999999999934]",2
Herman Pascoe,1,2077,Bãi Xếp,"[12.971687385419925, 15.689999999999948]","[0.89, 3.529999999999978]",4
Herman Pascoe,1,1364,Tiệm mì quảng Cô Út,"[11.07, 12.11]","[0.38, 1.4]",1
Herman Pascoe,1,1208,Phở Cô Mười,"[3.4330989961274696, 17.41999999999981]","[0.19, 0.5700000000000001]",1
Herman Pascoe,1,2078,Tuyệt tình Cốc,"[15.534858042813802, 22.659999999999854]","[0.29, 2.889999999999981]",4
Herman Pascoe,1,1892,Cơm Mậu,"[15.298157818592994, 17.32000000000011]","[0.75, 2.599999999999987]",3
Herman Pascoe,1,468,HUG COFFEE SHOP,"[19.56, 19.82]","[0.14, 0.28]",1
Patricia Whiting,2,2069,Mộ Hàn Mặc Tử,"[10.452447766856077, 16.610000000000078]","[0.13, 0.6800000000000002]",4
Patricia Whiting,2,1486,Quán trứng vịt chiên mắm cô Thanh,"[18.31, 18.72]","[0.27, 0.69]",5
Patricia Whiting,2,945,Bảo Tàng Tổng Hợp Bình Định,"[12.45, 13.87]","[4.11, 6.59]",2
Patricia Whiting,2,350,Khách sạn Hữu Phước,"[16.19, 16.26]","[0.04, 0.09]",4
Patricia Whiting,2,2095,Quảng trường Quy Nhơn,"[1.4774468991535037, 12.139999999999961]","[0.18, 0.9700000000000002]",2
Patricia Whiting,2,2052,Mũi Tấn,"[8.12, 8.8]","[1.24, 2.45]",2
Patricia Whiting,2,502,Cafe Nhơn,"[5.94, 7.58]","[3.8, 10.48]",2
Patricia Whiting,2,911,Cafe Long,"[8.294529475534494, 16.019999999999854]","[0.63, 4.238907354801448]",2
Patricia Whiting,2,1088,Hải Sản 7 Dũng,"[7.93, 9.19]","[0.03, 0.39]",2
Patricia Whiting,2,2062,Tượng Đài Quang Trung,"[3.7067983456271865, 19.79999999999978]","[0.33, 1.0700000000000003]",4
Patricia Whiting,2,173,Khách sạn Ngọc Thương,"[19.75661906524076, 21.420000000000027]","[0.42, 1.7410986411215048]",3
Patricia Whiting,2,2041,Cháo lòng bánh hỏi Tư Hạnh,"[7.181316173141491, 15.849999999999843]","[0.11, 0.55]",1
